form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
maringsaibol159,shi,1.pl.excl.nfut.neg,shi-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol160,shi,1.pl.incl.nfut.neg,shi-mak-min,Σ-mak-min,Σ+mak+min,Σ m a k m i n,Σ + m a k + m i n,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol161,mu,1.sg.2.sg.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol162,mu,1.sg.2.pl.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol163,mu,1.pl.excl.2.sg.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol164,mu,1.pl.excl.2.pl.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol165,mu,1.sg.3.sg.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol166,mu,1.sg.3.pl.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol167,mu,1.pl.excl.3.sg.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol168,mu,1.pl.incl.3.sg.nfut.neg,mu-mak-min,Σ-mak-min,Σ+mak+min,Σ m a k m i n,Σ + m a k + m i n,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol169,mu,1.pl.excl.3.pl.nfut.neg,mu-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol170,mu,1.pl.incl.3.pl.nfut.neg,mu-mak-min,Σ-mak-min,Σ+mak+min,Σ m a k m i n,Σ + m a k + m i n,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol171,mu,2.sg.nfut.neg,mu-mak-cha,Σ-mak-cha,Σ+mak+cha,Σ m a k tʃ a,Σ + m a k + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol172,shi,2.pl.nfut.neg,shi-mak-chau,Σ-mak-chau,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol173,mu,2.sg.1.sg.nfut.neg,mu-mak-cha,Σ-mak-cha,Σ+mak+cha,Σ m a k tʃ a,Σ + m a k + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol174,mu,2.sg.1.pl.excl.nfut.neg,mu-mak-cha,Σ-mak-cha,Σ+mak+cha,Σ m a k tʃ a,Σ + m a k + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol175,mu,2.pl.1.sg.nfut.neg,mu-mak-chau,Σ-mak-chau,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol176,mu,2.pl.1.pl.excl.nfut.neg,mu-mak-chau,Σ-mak-chau,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol177,mu,2.sg.3.sg.nfut.neg,mu-mak-cha,Σ-mak-cha,Σ+mak+cha,Σ m a k tʃ a,Σ + m a k + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol178,mu,2.sg.3.pl.nfut.neg,mu-mak-cha,Σ-mak-cha,Σ+mak+cha,Σ m a k tʃ a,Σ + m a k + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol179,mu,2.pl.3.sg.nfut.neg,mu-mak-chau,Σ-mak-chau,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
